Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
ResNet18 (ADC),114,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),115,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),116,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),117,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),118,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),119,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),120,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),121,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),122,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),123,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),124,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),125,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),126,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),127,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),128,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),129,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),130,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),131,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
ResNet18 (ADC),132,N/A,N/A,N/A,N/A,bx=8 bw=8 ba=8 k=4
